	pseudotime	branches	scalings
cell_0	0.0	0.0	0.17027816208494512
cell_1	1.0	0.0	2.1137940557928645
cell_2	2.0	0.0	0.3993208380586155
cell_3	3.0	0.0	0.3189952925842677
cell_4	4.0	0.0	0.598137832635852
cell_5	5.0	0.0	1.1258739176924601
cell_6	6.0	0.0	0.6884470376338935
cell_7	7.0	0.0	0.2866872931728246
cell_8	8.0	0.0	1.7618931826260407
cell_9	9.0	0.0	1.713107987776843
cell_10	10.0	0.0	0.5008700392887523
cell_11	11.0	0.0	2.379544377603229
cell_12	12.0	0.0	2.0039968454315313
cell_13	13.0	0.0	0.5105772765701103
cell_14	14.0	0.0	2.6988656058665486
cell_15	15.0	0.0	0.7434125947234844
cell_16	16.0	0.0	0.8427242154191266
cell_17	17.0	0.0	1.7699151688116241
cell_18	18.0	0.0	1.8183032554465943
cell_19	19.0	0.0	0.4868799860556087
cell_20	20.0	0.0	2.3253732997585
cell_21	21.0	0.0	1.7228425006258654
cell_22	22.0	0.0	1.7376298616789185
cell_23	23.0	0.0	1.0896939234302612
cell_24	24.0	0.0	0.2093930609576792
cell_25	25.0	0.0	1.8665812219225746
cell_26	26.0	0.0	0.2798776832482132
cell_27	27.0	0.0	0.2852038663048347
cell_28	28.0	0.0	0.42038790344585036
cell_29	29.0	0.0	1.6758844128962016
cell_30	30.0	0.0	0.3729501844146893
cell_31	31.0	0.0	0.6470547911527282
cell_32	32.0	0.0	0.6295810332736838
cell_33	33.0	0.0	0.3382669457899836
cell_34	34.0	0.0	0.729136374962006
cell_35	35.0	0.0	0.6855353055033879
cell_36	36.0	0.0	0.5063567886295322
cell_37	37.0	0.0	1.9139938905025262
cell_38	38.0	0.0	0.40149549513017946
cell_39	39.0	0.0	0.27724930227399186
cell_40	40.0	0.0	1.1043621098655612
cell_41	41.0	0.0	0.6617612569101979
cell_42	42.0	0.0	1.0322397181637326
cell_43	43.0	0.0	1.443556294765673
cell_44	44.0	0.0	0.7968520265210365
cell_45	45.0	0.0	0.4552723402122859
cell_46	46.0	0.0	2.5566776128965953
cell_47	47.0	0.0	0.4620520360033778
cell_48	48.0	0.0	1.4095945306913908
cell_49	49.0	0.0	0.5927057989508242
cell_50	50.0	1.0	0.6665257913667366
cell_51	51.0	1.0	6.610749663108952
cell_52	52.0	1.0	1.358005802629483
cell_53	53.0	1.0	0.1654836928682453
cell_54	54.0	1.0	0.4116036904383651
cell_55	55.0	1.0	3.7206663567998652
