	alpha	beta	genescale
gene_0	0.23538756084161208	2.169974836426455	1.1977510653058878
gene_1	0.27772793392008166	2.689285021850651	2.09877117906028
gene_2	0.12776324687567478	2.8152141541372435	1.8572976365370188
gene_3	0.16288851939977925	2.831856261220248	4.6912916104955436
gene_4	0.3255218770946304	1.8195087865919546	4.830158637673393
gene_5	0.12970256416932163	2.2154488450032916	1.5115194547712254
gene_6	0.29768939466126526	2.143888823649031	2.8608500543579853
gene_7	0.3173015203096567	2.024596524317128	1.192997844043062
gene_8	0.41696717563963553	2.332338667632216	13.6092159112318
gene_9	0.28843867412048085	1.7510998013288122	17.667023922371555
gene_10	0.14680425416814497	1.9261648125275803	1.439125800428941
gene_11	0.17347081026371738	1.6075083746823442	0.23450096107031748
gene_12	0.14739447809199435	1.836258789903245	1.6227115367662754
gene_13	0.20002417452345747	2.0324230665951233	1.0574345848162885
gene_14	0.17740053267383574	2.5028387424509635	13.638872682226602
gene_15	0.11649104849751807	1.9353927821425208	2.4268225298806176
gene_16	0.2455014755052994	1.8249026744409842	7.937769277236658
gene_17	0.26805746359883054	2.445897616805632	1.4272337936471753
gene_18	0.3346152232331537	2.0356785362787866	7.704843995524041
gene_19	0.22822509915002648	1.9894567087544845	3.9383720065993337
gene_20	0.1805497525845546	2.148587192622926	1.4120124828775553
gene_21	0.1544259175802249	3.686804505358939	0.4504080065697999
gene_22	0.11481597394164765	1.516180604751394	2.1371768401106506
gene_23	0.18461584304728967	1.9652206896943238	0.9909195528823269
gene_24	0.20669103855316642	1.394397778816569	3.958648577492878
gene_25	0.24785063577850147	2.191382748363483	7.760760290057965
gene_26	0.2537892858444665	1.4386099358000868	2.9747294645268454
gene_27	0.19581412128176806	1.5975208493126882	1.806008071946514
gene_28	0.14891647704141048	1.8739586237683155	2.35780982140321
gene_29	0.25357071633562345	1.7438229041863595	1.2674099916977093
gene_30	0.18809007179165768	1.646199449185058	0.675365751636406
gene_31	0.2732695331382532	2.3017190322838674	2.056560566251742
gene_32	0.14828248257533092	1.2346356531073317	2.143957085968877
gene_33	0.1792930247772618	2.7491620693918644	1.219338033618165
gene_34	0.1403105564885851	2.058613638826487	0.12235384645799974
gene_35	0.22561156677153152	1.7838621635965395	2.2278032317790184
gene_36	0.23428478814563525	1.5254874316869538	2.745160959802534
gene_37	0.2430306275566999	1.7055464519786077	0.4698769470209093
gene_38	0.19953954254483025	2.6959000969747846	0.7610512714253352
gene_39	0.15117130911373586	2.4370540495932977	2.5000531768910155
gene_40	0.3010344080360334	1.9305965539102663	1.591883523575464
gene_41	0.19224747778242948	1.89994478714037	4.105880409970646
gene_42	0.2020066582711249	1.4432821761054342	1.1760429042465252
gene_43	0.17913393303706465	2.9301758850756956	1.508535289679185
gene_44	0.16980938419437616	1.7583407025196354	2.8470385994874072
gene_45	0.13552126086154975	1.7844492230240687	0.9353781603839462
gene_46	0.18126172304560775	2.880082034492811	2.6486279350407886
gene_47	0.17564872770069676	1.6283158120605157	1.4665234298135839
gene_48	0.30201450352243103	2.5845566178391213	1.3744399707469486
gene_49	0.28268965923763123	1.7428170974024388	1.0812230756227788
gene_50	0.1179763345009697	2.2394032287787455	2.606603011035203
gene_51	0.09071345808120698	1.8440435732924563	1.9589397885965254
gene_52	0.11724675590916428	3.4988337614555434	2.6853461731302244
gene_53	0.1485182232942087	2.189722149236422	2.4845857666598006
gene_54	0.20251431515175466	1.7610075580406304	4.587392012229529
gene_55	0.2360420539790445	2.476014811653299	5.030968431961861
gene_56	0.20300829836587728	1.2160736642057905	2.8258844615331293
gene_57	0.1540288574115674	1.6966492992946642	0.1953395605631988
gene_58	0.24485988288915456	1.3449061055557523	2.186833002524661
gene_59	0.24150322173437885	1.0331446849581567	2.2829319852677665
gene_60	0.3701225705904648	3.6022924975278645	0.8145662085318555
gene_61	0.2941059646403506	1.3058432075189383	1.1298292327409944
gene_62	0.2785218503756493	2.9205149462102917	2.5501756102214626
gene_63	0.2625662295533178	1.8497202355700972	0.5727933846324387
gene_64	0.186279591068945	2.8337501889463947	4.274502182552513
gene_65	0.17426897721322498	2.3163491795138875	2.7541930873682845
gene_66	0.3147199646619601	3.198053671861227	4.028229648784273
gene_67	0.39175559189802617	1.7844043860350145	0.4309638185699302
gene_68	0.17507070794568236	1.5626496022625347	0.38048070721778754
gene_69	0.29197927929726714	1.7758306625326947	0.5584995383801027
gene_70	0.2581861554798412	1.883392118090953	0.9519021884643867
gene_71	0.21931949308619209	1.4587535205515503	2.528494831705871
gene_72	0.22448134282668375	1.2480066742350977	3.4408478031839924
gene_73	0.37661547563100184	2.9163500988585325	1.0235357528915723
gene_74	0.22308783963734563	1.7649430418579954	0.8991887841741493
gene_75	0.15511071954742306	2.0696031253941514	0.6348189502152557
gene_76	0.13517803739003845	2.1301422491776165	5.226608606497902
gene_77	0.2738487131710693	2.3231645570889294	2.2499276530312398
gene_78	0.304536299051136	1.93790810091491	0.29231881340522026
gene_79	0.263492798623019	1.656924832405818	0.5214602013367008
gene_80	0.21929450232099398	1.7592149548073408	1.6403425686453323
gene_81	0.1704335329335136	2.4918750313594593	4.621974977560562
gene_82	0.2411541320417347	1.0613147267895646	5.075296288309953
gene_83	0.16948601471809452	2.448469625393858	2.8808501311251096
gene_84	0.20700758932308533	2.344615131933461	1.311947790310413
gene_85	0.1624454033491341	1.3864857018700436	1.2201634153671106
gene_86	0.22988593490745893	1.6419355998499439	4.163618611341084
gene_87	0.23354986146792678	2.1646935846789344	3.9522641324812344
gene_88	0.1985118742882797	1.7926345904982728	0.8253004696247386
gene_89	0.1233189496039663	2.108839492028504	4.4544838527337625
gene_90	0.12129262473775114	1.4171895707019067	1.1576299890614874
gene_91	0.2534940504978445	1.3500890743250737	5.574814182277304
gene_92	0.21889637170655768	1.5125297793783208	8.281335421755523
gene_93	0.11952805091988568	1.6151143904161	0.522799156067547
gene_94	0.32747821757040285	2.7316709821273797	2.186586146581226
gene_95	0.10398744975597339	1.7107772993174508	1.3187206755671599
gene_96	0.19738914502210156	1.8111942319519487	18.296620137803703
gene_97	0.21538944219005465	3.2385730796287775	0.7223664055897395
gene_98	0.23965187500986374	1.9872154098481472	0.2924025691743587
gene_99	0.2789527386576567	1.8469135611824425	3.487581203684358
gene_100	0.12331384597028804	1.4640711117890344	1.1177252316804271
gene_101	0.1792970425225773	2.8736510183096566	1.1615098967968354
gene_102	0.22692895746872602	2.651574726760923	1.8845133145815742
gene_103	0.36361507603297555	2.3701784226347953	0.2887757325407582
gene_104	0.18171540009094636	2.2531274526644625	5.846817932778047
gene_105	0.1577135661015719	1.4423468158717432	1.231261453518522
gene_106	0.12008283036342919	1.356835485086257	8.768806684332226
gene_107	0.2018175231694607	2.9464975487837037	0.8950148155658555
gene_108	0.11338348579937398	2.2206691743357205	2.073447324496673
gene_109	0.1689032881278866	2.772364526916695	10.049840967218698
gene_110	0.31469163857210974	2.893717015949954	0.581093674149379
gene_111	0.18909325593205864	2.1944542271250733	3.1923778049513647
gene_112	0.1279068106186165	1.83860091479604	1.2593564047446222
gene_113	0.16996322662359795	1.5597948938388013	0.3277731909507876
gene_114	0.25672726018020375	2.033160624415896	4.596299095472595
gene_115	0.15097553520293988	1.6062683131522335	6.213581299006492
gene_116	0.21139263049857596	1.8079652475697536	4.672249790797522
gene_117	0.33254233891726537	2.276552186972015	31.75647388908225
gene_118	0.13385064202818195	1.3344580899846228	4.590853578021529
gene_119	0.14571596717920743	1.7805587801549163	5.9046321081268465
gene_120	0.22080489463162462	1.6021775243653382	0.436393743803543
gene_121	0.18712945492484082	2.040632470682233	5.7106025379747525
gene_122	0.2522495048842878	3.5381613718826412	2.171137902333665
gene_123	0.20666180299118056	1.5559675075420445	8.33068275253103
gene_124	0.14622542078854922	1.4921580292016074	8.360131154029755
gene_125	0.15792950654086568	1.3472425936322907	7.283726276490897
gene_126	0.11556704390179925	1.3118619593954537	3.761572293639544
gene_127	0.24278748183174867	1.5681574198277952	0.40907284066056687
gene_128	0.21320460783139175	1.3931198069704145	6.012382796534972
gene_129	0.27609572448784564	1.494178768159022	10.750386589820147
gene_130	0.15008469807491137	1.7527113426033771	1.3311450999243357
gene_131	0.21471457257494378	2.133128650642587	2.4913240474358482
gene_132	0.20156263532560614	4.017656483588958	0.6801994741893232
gene_133	0.2783782068278352	2.27609922713488	5.087560096647798
gene_134	0.19433470992357324	2.9537131891870003	3.995169908443115
gene_135	0.2634451389357944	2.0150249759426413	0.23109204970649327
gene_136	0.14656208847456917	1.6501098868150041	14.743520797382738
gene_137	0.13554680961772528	2.48714201543704	4.443358251349877
gene_138	0.21186845264002344	3.0141273640971584	2.8906456365101665
gene_139	0.3059071295921643	1.8094046877552976	5.433859301365748
gene_140	0.15454629405323933	2.8912185520719955	1.829443733029277
gene_141	0.18749391284838082	1.4333610194234911	0.7251958001027925
gene_142	0.28146228371147763	1.2595186452671483	1.3152426292675659
gene_143	0.16948124535894843	1.9823479957657673	6.10570642730589
gene_144	0.09590068308187785	2.398186025968604	2.8929841665176763
gene_145	0.18291465244587446	1.7128336613862	2.777777121225099
gene_146	0.15998189082149736	2.8540145482988386	1.2757304916123997
gene_147	0.1806649237238904	2.0581612689997404	1.2427403349481327
gene_148	0.3485508556717902	2.738661107744569	5.246520470569432
gene_149	0.17470314566351564	1.7800307265944133	1.8191628169343173
gene_150	0.26251668582842624	2.1284505560121856	2.6525397910644717
gene_151	0.19289225134672858	2.5448509587206543	0.8942834758073216
gene_152	0.2078123663350469	2.749184601902055	3.381277786179895
gene_153	0.22593073790661855	1.3158997669850299	1.6795302455601038
gene_154	0.14087097736875134	1.780951689593899	4.380567155872189
gene_155	0.1709367708040373	2.197677452088108	8.41150744929953
gene_156	0.33248392959712497	3.2762336324991783	4.037436854732079
gene_157	0.15465385746454147	2.230456022840276	7.788905320335211
gene_158	0.12544644278255493	1.7316484920436364	4.99885342924967
gene_159	0.1990341606052728	2.454191208001412	2.444511012509023
gene_160	0.134357632211282	1.4031900599699325	5.866664007935992
gene_161	0.1050767691338237	1.9687504568169716	1.3186578162360652
gene_162	0.2719500277783362	2.0077417445415064	4.065028878931923
gene_163	0.1486732865860746	1.2615924099990918	1.81524731690233
gene_164	0.3432237094843113	2.0553766843770993	2.8221718525774686
gene_165	0.2751919020649722	2.5246804968562877	15.416798983655468
gene_166	0.19583680317564145	2.007758826256957	2.231262724725913
gene_167	0.1528816412627979	1.533972614022508	2.371945333610049
gene_168	0.1658415255579287	1.569117917485369	5.412512332877496
gene_169	0.1269987583157231	1.9833767683391752	9.182199718041039
gene_170	0.12015666109013481	3.1401416271078513	8.977373551153923
gene_171	0.1999502965861698	1.6642436670308212	2.297920059463244
gene_172	0.0987921578334298	1.5597304987917222	0.8313899458743614
gene_173	0.10199360776933113	2.91030021003474	6.035725723129949
gene_174	0.16176515658792365	1.2635524228153479	2.725716899308897
