Actb	Ahcy	Aqp3	Atp12a	Bmp4	Cdx2	Creb312	Cebpa	Dab2	DppaI	Eomes	Esrrb	Fgf4	Fgfr2	Fn1	Gapdh	Gata3	Gata4	Gata6	Grhl1	Grhl2	Hand1	Hnf4a	Id2	Klf2	Klf4	Klf5	Krt8	Lcp1	Mbnl3	Msc	Msx2	Nanog	Pdgfa	Pdgfra	Pecam1	Pou5f1	Runx1	Sox2	Sall4	Sox17	Snail	Sox13	Tcfap2a	Tcfap2c	Tcf23	Utf1	Tspan8
10	-0.574999999999999	11.515	7.195	11.185	11.81	6.685	7.09	12.09	9.47	4.955	10.115	4.935	2.355	4.54	5.69	0.305	5.09	-3.505	7.725	1.285	0.544999999999998	10.625	6.135	2.205	1.84	-0.395	5.605	10.31	6.605	6.495	9.585	9.465	9.51	9.22	10.595	1.77	1.91	11.045	5.21	-0.680000000000001	6.355	-0.615	2.09	6.08	0.239999999999998	11.445	11.515	3.485
11	-0.435000000000002	7.355	9.525	11.51	11.605	5.86	5.24	2.885	8.015	4.285	11.015	4.485	0.495000000000001	4.355	7.25	-2.715	4.315	-4.695	5.475	3.505	2.74	8.895	8.18	6.425	3.415	1.775	8.515	11.805	7.055	5.725	10.68	11.145	11.19	6.265	11.295	2.375	2.34	9.895	6.195	0.274999999999999	8.585	-0.140000000000001	2.805	8.795	1.785	12.395	8.06	5.405
12	0.460000000000001	8.82	5.31	12.43	11.835	5.08	12.325	5.4	9.06	6.675	8.68	2.695	11.21	6.21	6.59	0.134999999999998	5.84	0.56	8.695	2.655	2.685	5.2	6.245	4.595	0.915000000000003	-0.280000000000001	8.105	11.2	5.865	3.21	10.345	9.795	4.665	2.605	5.48	1.58	2.035	11.585	-0.879999999999999	-0.439999999999998	11.09	1.035	6.25	6.18	1.79	11.355	11.675	4.77
13	0.609999999999999	8.3	4.46	11.7	11.53	8.375	11.67	6.44	12.005	5.455	9.355	3.66	5.775	6.44	6.85	-0.0350000000000001	6.505	0.23	10.025	4.645	3.985	13.26	8.225	7.92	3.71	2.69	8.795	13.36	8.85	7.715	13.405	9.52	8.55	5.32	8.865	4.26	4.065	15.285	5.12	3.65	8.88	2.18	5.325	9.195	4.57	14.24	15.005	7.24
14	1.97	9.715	14.095	9.45	14.45	10.615	14.335	14.235	14.845	7.535	12.815	8.56	4.075	8.48	9.89	2.11	6.88	-0.635	13.625	4.45	5.075	14.105	8.58	7.625	5.325	2.99	9.255	13.495	11.025	9.26	14.095	13.75	9.535	8.285	13.925	4.425	5.955	13.865	7.095	2.95	8.085	1.1	4.8	6.94	3.73	12.615	10.545	5.065
15	2.285	13.825	14.035	10.015	13.295	11.21	10.265	7.65	13.77	8.645	11.66	6.275	4.8575	7.695	6.9975	3.075	5.8225	-0.697500000000002	12.0575	4.965	3.745	7.86	12.7325	7.3825	3.995	1.68	8.01	11.7925	12.88	9.18	12.87	11.46	7.865	5.63	11.64	2.56	3.665	7.735	5.025	0.605	7.84	-0.960000000000003	4.18	12.005	3.12	13.435	13.665	5.085
16	1.785	12.765	6.77	11.67	13.605	9.54	12.535	14.395	14.3	8.85	10.95	7.065	6.76	9.11	9.035	3.49	8.985	1.1	14.255	5.71	4.535	6.05	9.375	11.11	4.075	1.86	13.135	14.245	11.64	8.27	15.09	13.885	13.685	5.785	8.675	4.465	3.395	9.94	10.24	3.45	9.26	1.88	9.92	8.58	3.35	6.33	15.92	6.88
17	1.495	11.1	13.75	8.78	13.515	8.79	8.325	6.91	13.47	6.165	11.145	5.54	2.975	7.73	8.36	-0.0299999999999976	5.045	-2.55	12.2	2.87	1.89	3.825	7.655	8.08	4.035	0.895	8.365	13.985	11.815	6.065	14.075	8.58	13.185	8.15	10.59	5.37	5.21	13.515	7.725	1.47	9.885	0.970000000000001	3.74	11.295	1.86	13.86	11.635	6.215
18	1.935	11.765	14.795	9.46	14.565	7.27	6.54	6.14	13.13	7.2	8.105	5.77	3.25	5.57	7.32	1.245	5.125	-1.295	12.7	3.715	1.525	9.255	7.09	7.66	4.51	0.73	7.56	7.695	12.705	5.35	9.185	11.765	7.625	6.385	6.5	3.04	3.48	6.905	4.59	1.215	8	0.785	4.17	6.395	0.984999999999999	7.455	11.795	3.825
19	-0.820000000000002	8.005	7.86	5.83	11.64	7.295	12.435	5.295	9.145	5.95	8.92	4.045	1.26	4.715	5.205	-0.0850000000000009	4.365	-3.325	6.375	2.045	1.11	-0.645	10.475	4.88	0.764999999999997	-1.875	5.045	2.905	6.73	1.65	10.595	11.21	5.9	5.855	8.5	2.78	3.235	5.805	2.51	-0.0899999999999999	6.97	-0.785	2.605	6.825	0.745000000000001	8.945	9.525	2.83
