	alpha	beta	genescale
gene_0	0.1543408793317246	3.6103058780513866	4.7955778588890725
gene_1	0.19029620451394544	2.0090673113079247	1.713643048490158
gene_2	0.21287740612885586	1.3687447888423916	41.24745818734759
gene_3	0.12650009414361613	1.9057415408871232	1.0958859577889513
gene_4	0.3468574198384466	1.3750467179543704	3.184964902629134
gene_5	0.3111951763505313	2.994485760242041	0.7317474251047471
gene_6	0.16814527261607634	1.9805211304487076	10.089932563346062
gene_7	0.13508888787565926	2.415329721951389	9.236474507534936
gene_8	0.11595995933369585	2.1806922963109563	0.8169312899088916
gene_9	0.29674283722145123	1.9511574772286224	0.453689437427631
gene_10	0.15881193681001152	2.7057443438910114	4.098106034853647
gene_11	0.2666827348494155	2.752300705042684	8.136412712917613
gene_12	0.22072054058465326	1.5917536729944364	1.0706550172066616
gene_13	0.1477403696633835	1.9149408578945184	4.83428301481556
gene_14	0.24916804412129046	1.5579811405544626	11.756110033064495
gene_15	0.16694255676291256	1.7674443562307052	2.293105340303877
gene_16	0.16272960185545912	3.1402615565612666	9.779269517390805
gene_17	0.16512171490227873	1.4386285449955387	1.7811334897832332
gene_18	0.18843827869542026	2.073973642529064	7.670408234199857
gene_19	0.238270977921157	2.171390394160064	0.859815464251502
gene_20	0.2660138646753627	2.1383383323640173	9.12798330169745
gene_21	0.20807244157379493	1.2070002595486682	0.3476793731692481
gene_22	0.15296347746782288	1.5284986113561936	0.33533018522037106
gene_23	0.1651112639274054	2.1712282394910267	3.049700317601141
gene_24	0.26160745778230776	1.5829705668886203	1.4554586922987784
gene_25	0.12762542532070253	2.1612310434428683	1.439870198353394
gene_26	0.17132182760514314	2.011783907436584	2.3267709083119925
gene_27	0.1832623407553755	1.9770557431396856	3.3960645503828863
gene_28	0.16450702636422992	1.4551424581579906	1.0643877791757186
gene_29	0.1601924997068013	1.6930089661277798	3.0246808553320967
gene_30	0.12433298889640185	1.4725736641910008	0.5886062863437611
gene_31	0.13614587598713554	2.1713854340473207	2.803446491695693
gene_32	0.19641422229800395	1.7258376089892604	1.3800519656092336
gene_33	0.19976372205804932	2.5368539555137763	0.5286803841114246
gene_34	0.15338651268205936	2.1855765159740748	6.597200555580097
gene_35	0.18668222118917766	2.4202039331482728	5.631731483331605
gene_36	0.19353374569595053	1.2223212450722567	3.1517219907216716
gene_37	0.2422698811249521	1.8896172855083984	1.9034942058612985
gene_38	0.17659563629253736	2.958396961841858	1.9928912245486257
gene_39	0.3038223828429975	2.8827901242245275	7.299463288823607
gene_40	0.1803023926005437	2.145007563542828	6.166709930916669
gene_41	0.1711809277970524	2.222469412710164	8.575685071044026
gene_42	0.16668510589559998	2.6857914355499197	3.9811219997678
gene_43	0.22310401722531226	1.5588047173149522	1.6917737883599062
gene_44	0.2731265767561128	2.686256484716217	1.2290332240824304
gene_45	0.24152497252094274	1.0335919026202776	0.7596174213923073
gene_46	0.14682253724468494	2.1571716297803016	2.6569388618601826
gene_47	0.17074878416207254	1.6960871901557446	4.665825679498698
gene_48	0.27950617267950423	1.4623108113273722	6.002153948378218
gene_49	0.3201113361958572	1.6976167298465707	5.276538576820429
gene_50	0.28136650305961225	1.2688389996383034	4.147504028747126
gene_51	0.2466552742818574	3.0974121987052787	21.40811992808704
gene_52	0.17083200979061347	1.9492494900436936	0.2558491036730321
gene_53	0.15893708593716374	2.375514949131288	2.020904303269592
gene_54	0.2362454768750617	2.2371823245007842	5.72915848557342
gene_55	0.20752130524831772	1.6356180719289148	3.235263989028649
gene_56	0.24026665677015574	2.584302724290815	2.689865974340329
gene_57	0.2564945075862567	1.8956028675824288	0.7060534225320217
gene_58	0.32499556092389115	1.564653104075811	10.535561756115037
gene_59	0.19055279307678227	2.6985457991445174	7.571646194048476
gene_60	0.2020074176538795	1.7136988341665662	0.6281441748271122
gene_61	0.1733780068399276	2.780920201186034	1.6436785260095264
gene_62	0.2179488320295488	3.2092139502308794	0.5729907192000104
gene_63	0.13298329646162388	1.779964673162987	1.2918819376709114
gene_64	0.15104376886764334	1.3965889501871174	2.189671965416732
gene_65	0.181381833885466	3.787613667739469	0.5091580478118324
gene_66	0.1994968972074464	2.6058472411933837	2.343608647099161
gene_67	0.2516722277998854	2.1199062076464052	0.277163718715543
gene_68	0.16197716329225242	1.1806582791225504	1.5165198744625068
gene_69	0.1772100656053924	1.6710754244569608	1.4010421832164976
gene_70	0.20326499261504724	2.606062666714987	1.1982350534716646
gene_71	0.14408918255663514	1.654769308874946	3.927693823008812
gene_72	0.14533236020937546	2.1747384646546117	1.4499624380194585
gene_73	0.18216844862723888	1.3299726790198771	1.5151981051238474
gene_74	0.24334694671191895	3.3672141712502963	2.427662756827464
gene_75	0.2215303422280584	1.4605033568265675	2.8463494464712533
gene_76	0.27086823952583977	2.2745378084975623	1.3222078847951362
gene_77	0.19317920977631192	1.8580580661196129	2.5425733211374744
gene_78	0.19679529010753488	1.957423593005484	1.7508065903942642
gene_79	0.1763146223197816	2.952403545009844	0.8844408694508776
gene_80	0.12113206165767708	1.3057243862584362	3.1746537462785938
gene_81	0.15336570791018836	2.864532971958906	1.0789057111205964
gene_82	0.2114401707665924	1.9064941069046013	0.2811052581935413
gene_83	0.25105140849209656	1.2789917829348785	7.338131566822429
gene_84	0.2585716152428084	4.8064034690616255	0.9634838111997164
gene_85	0.3436414971537121	1.8661249173316887	1.9613127436360225
gene_86	0.1998002696275708	2.4325739828400508	16.64341117801287
gene_87	0.2503030546528786	2.919015559638624	1.1182108518481753
gene_88	0.18202954056054202	1.624201688325703	1.3496144299720758
gene_89	0.3082937502122987	2.113976101638501	0.43870873830035095
gene_90	0.18359639507486444	1.8999068220218231	45.931740165522974
gene_91	0.3326484316680007	2.0761473927678464	1.1110322349763944
gene_92	0.1307457764436868	3.2968845799149387	0.5449011515477403
gene_93	0.17486886318632905	1.6155487735874516	5.130581344857106
gene_94	0.2113450969841361	1.572931760394504	4.473721452048877
gene_95	0.2720821294350873	1.4820599301207849	2.147178293501752
gene_96	0.172140934024071	1.2591377631128715	3.456518139541009
gene_97	0.11677888154765308	3.2550154823987514	3.8050058387805183
gene_98	0.22186652119622224	1.9242266757559572	2.296952003036564
gene_99	0.11392897887777315	2.0946540343403908	0.2960961093818379
gene_100	0.2559319454737747	1.9015142818354809	5.0813341591507
gene_101	0.14098354292942444	1.5651583565578964	4.141103365577348
gene_102	0.30039601135652594	1.9784160290222788	3.8948376707708383
gene_103	0.17433122278049062	3.5581087368397597	5.572855945572426
gene_104	0.3065112311095618	2.407051827894307	0.6174301077347559
gene_105	0.21327539391965625	2.3585456100757467	1.3079273974915608
gene_106	0.1992439350489876	3.042739049742984	6.063023402660257
gene_107	0.1884030921092041	1.7644445687754666	0.9488879308962684
gene_108	0.2543704792102578	1.6073349500473746	11.06255051694777
gene_109	0.2420973860908625	1.5877707104589251	9.365618155610065
gene_110	0.22304367421775526	2.2652897381983106	0.8330016869937759
